PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,C,Kenneth Lofton Jr. (24725612),Kenneth Lofton Jr.,24725612,C/UTIL,4900,MEM@ORL 10/11/2022 07:00PM ET,MEM,0
,,,,,,,,,PF,Rudy Gay (24725596),Rudy Gay,24725596,PF/F/UTIL,4900,SAS@UTA 10/11/2022 09:00PM ET,UTA,16.94
,,,,,,,,,C,Gorgui Dieng (24725610),Gorgui Dieng,24725610,C/UTIL,4900,SAS@UTA 10/11/2022 09:00PM ET,SAS,8.79
,,,,,,,,,PG,Cory Joseph (24725607),Cory Joseph,24725607,PG/G/UTIL,4900,OKC@DET 10/11/2022 07:00PM ET,DET,18.49
,,,,,,,,,C,Jaylin Williams (24725616),Jaylin Williams,24725616,C/UTIL,4900,OKC@DET 10/11/2022 07:00PM ET,OKC,0
,,,,,,,,,PG/SG,Coby White (24725628),Coby White,24725628,PG/SG/G/UTIL,4800,MIL@CHI 10/11/2022 08:00PM ET,CHI,22.09
,,,,,,,,,SG/SF,Grayson Allen (24725650),Grayson Allen,24725650,SG/SF/F/G/UTIL,4800,MIL@CHI 10/11/2022 08:00PM ET,MIL,19.77
,,,,,,,,,SF/PF,Justise Winslow (24725618),Justise Winslow,24725618,SF/PF/F/UTIL,4800,POR@GSW 10/11/2022 10:00PM ET,POR,15.80
,,,,,,,,,PG/SG,Ryan Rollins (24725632),Ryan Rollins,24725632,PG/SG/G/UTIL,4800,POR@GSW 10/11/2022 10:00PM ET,GSW,0
,,,,,,,,,SG,Kevon Harris (24725625),Kevon Harris,24725625,SG/G/UTIL,4800,MEM@ORL 10/11/2022 07:00PM ET,ORL,0
,,,,,,,,,SG/SF,Vince Williams Jr. (24725645),Vince Williams Jr.,24725645,SG/SF/F/G/UTIL,4800,MEM@ORL 10/11/2022 07:00PM ET,MEM,0
,,,,,,,,,PF,Jarred Vanderbilt (24725622),Jarred Vanderbilt,24725622,PF/F/UTIL,4800,SAS@UTA 10/11/2022 09:00PM ET,UTA,22.55
,,,,,,,,,SG/SF,Josh Richardson (24725636),Josh Richardson,24725636,SG/SF/F/G/UTIL,4800,SAS@UTA 10/11/2022 09:00PM ET,SAS,19.37
,,,,,,,,,PG/SG,Joshua Primo (24725641),Joshua Primo,24725641,PG/SG/G/UTIL,4800,SAS@UTA 10/11/2022 09:00PM ET,SAS,12.45
,,,,,,,,,SG,Lindy Waters III (24725655),Lindy Waters III,24725655,SG/G/UTIL,4800,OKC@DET 10/11/2022 07:00PM ET,OKC,17.39
,,,,,,,,,PG,Carlik Jones (24725666),Carlik Jones,24725666,PG/G/UTIL,4700,MIL@CHI 10/11/2022 08:00PM ET,CHI,3.15
